Date,Delta,TSMC,GlobalWafers,MegaUnion,TSEC
2025-05-19,356.6554260253906,969.5328369140625,317.1662902832031,376.33746337890625,21523.830078125
2025-05-20,359.1117248535156,963.6211547851562,320.5819091796875,375.36627197265625,21526.029296875
2025-05-21,371.884521484375,975.4447631835938,323.5096130371094,370.0246887207031,21803.91015625
2025-05-22,371.39324951171875,967.5623168945312,312.7747497558594,372.93829345703125,21670.9609375
2025-05-23,366.9718933105469,969.5328369140625,313.7506408691406,372.93829345703125,21652.240234375
2025-05-26,364.02435302734375,961.6505126953125,307.4073486328125,370.0246887207031,21536.5703125
2025-05-27,361.0767822265625,950.8121948242188,313.7506408691406,370.9958801269531,21336.5390625
2025-05-28,363.5330810546875,952.7828369140625,311.7988586425781,378.76544189453125,21357.720703125
2025-05-29,367.4631652832031,952.7828369140625,307.4073486328125,385.56378173828125,21347.30078125
2025-06-02,361.0767822265625,932.0916137695312,285.9376220703125,377.79425048828125,21002.7109375
2025-06-03,372.8670349121094,936.0328369140625,280.0822448730469,380.22222900390625,21126.9296875
2025-06-04,382.20098876953125,975.4447631835938,285.44964599609375,404.0164794921875,21618.08984375
2025-06-05,391.043701171875,983.3270263671875,293.2568359375,403.0452880859375,21674.4296875
2025-06-06,389.0786437988281,980.3712158203125,294.23272705078125,443.34979248046875,21660.66015625
2025-06-09,390.55242919921875,990.22412109375,293.2568359375,459.3744812011719,21790.2890625
2025-06-10,394.9737854003906,1029.6361083984375,295.2086181640625,453.5473327636719,22242.140625
2025-06-11,394.9737854003906,1049.342041015625,309.3591003417969,471.02880859375,22470.099609375
2025-06-12,392.5174865722656,1034.0050048828125,308.3832092285156,460.3456726074219,22287.8203125
2025-06-13,391.043701171875,1019.1630249023438,291.7929992675781,430.2386779785156,22072.94921875
2025-06-16,393.5,1014.215576171875,291.7929992675781,422.4691467285156,22049.900390625
2025-06-17,395.0,1034.0050048828125,291.3050231933594,413.2427978515625,22211.58984375
2025-06-18,400.5,1043.89990234375,291.3050231933594,420.5267639160156,22356.73046875
2025-06-19,404.0,1024.1104736328125,281.0581359863281,411.7860107421875,22003.5
2025-06-20,400.0,1043.89990234375,280.0822448730469,427.3251037597656,22045.740234375
2025-06-23,400.0,1009.2681884765625,276.17864990234375,418.5843811035156,21732.01953125
2025-06-24,417.0,1038.952392578125,291.3050231933594,448.6913757324219,22188.759765625
2025-06-25,423.5,1058.7420654296875,295.6965637207031,439.95062255859375,22430.609375
2025-06-26,420.0,1063.689453125,310.33502197265625,430.2386779785156,22492.33984375
2025-06-27,424.0,1068.636962890625,308.8711853027344,418.0987854003906,22580.080078125
2025-06-30,413.0,1048.8472900390625,294.23272705078125,419.0699768066406,22256.01953125
2025-07-01,428.0,1073.5843505859375,300.0881042480469,415.6707763671875,22553.720703125
2025-07-02,429.5,1073.5843505859375,294.7206726074219,444.80657958984375,22577.740234375
